id,name,party,email,image
5021,Jeremy Miles MS,Welsh Labour and Co-operative Party,Jeremy.Miles@senedd.wales,https://business.senedd.wales/UserData/1/2/0/Info00005021/bigpic.jpg
5030,Adam Price MS,Plaid Cymru,Adam.Price@senedd.wales,https://business.senedd.wales/UserData/0/3/0/Info00005030/bigpic.jpg
5038,Jayne Bryant MS,Welsh Labour,Jayne.Bryant@senedd.wales,https://business.senedd.wales/UserData/8/3/0/Info00005038/bigpic.jpg
5053,Huw Irranca-Davies MS,Welsh Labour and Co-operative Party,huw.Irranca-Davies@senedd.wales,https://business.senedd.wales/UserData/3/5/0/Info00005053/bigpic.jpg
5107,Vikki Howells MS,Welsh Labour,Vikki.Howells@senedd.wales,https://business.senedd.wales/UserData/7/0/1/Info00005107/bigpic.jpg
5112,Hannah Blythyn MS,Welsh Labour,Hannah.Blythyn@senedd.wales,https://business.senedd.wales/UserData/2/1/1/Info00005112/bigpic.jpg
513,Hefin David MS,Welsh Labour,Hefin.David@senedd.wales,https://business.senedd.wales/UserData/3/1/5/Info00000513/bigpic.jpg
5143,Carolyn Thomas MS,Welsh Labour,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg
5207,Delyth Jewell MS,Plaid Cymru,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg
543,Altaf Hussain MS,Welsh Conservative Party,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg
584,Julie James MS,Welsh Labour,Julie.James@senedd.wales,https://business.senedd.wales/UserData/4/8/5/Info00000584/bigpic.jpg
6571,Jack Sargeant MS,Welsh Labour,Jack.Sargeant@senedd.wales,https://business.senedd.wales/UserData/1/7/5/Info00006571/bigpic.jpg
8571,Gareth Davies MS,Welsh Conservative Party,Gareth.L.Davies@senedd.wales,https://business.senedd.wales/UserData/1/7/5/Info00008571/bigpic.jpg
8579,Peredur Owen Griffiths MS,Plaid Cymru,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg
8585,James Evans MS,Welsh Conservative Party,James.Evans@senedd.wales,https://business.senedd.wales/UserData/5/8/5/Info00008585/bigpic.jpg
8594,Sarah Murphy MS,Welsh Labour,Sarah.Murphy@Senedd.Wales,https://business.senedd.wales/UserData/4/9/5/Info00008594/bigpic.jpg
8625,Rhys ab Owen MS,Independent Member,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg
8634,Luke Fletcher MS,Plaid Cymru,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg
8642,Samuel Kurtz MS,Welsh Conservative Party,Samuel.Kurtz@senedd.wales,https://business.senedd.wales/UserData/2/4/6/Info00008642/bigpic.jpg
8643,Cefin Campbell MS,Plaid Cymru,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg
8670,Sioned Williams MS,Plaid Cymru,Sioned.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg
8687,Joel James MS,Welsh Conservative Party,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg
8695,Buffy Williams MS,Welsh Labour,Buffy.Williams@senedd.wales,https://business.senedd.wales/UserData/5/9/6/Info00008695/bigpic.jpg
8733,Tom Giffard MS,Welsh Conservative Party,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg
8734,Sam Rowlands MS,Welsh Conservative Party,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg
