id,name,name__cy,name__en,name__nl,name__de,name__fr,name__sl,name__ast,name__ca,name__es,name__it,name__da,name__fi,name__sv,name__hu,name__pt,name__pl,name__cs,name__nb,name__pt_br,wikipedia__commons,wikipedia__cy,wikipedia__en,birth_date,gender,given_name,occupation,family_name,identifier__welsh_assembly,identifier__freebase,image,identifier__democracyclub,twitter,original_wikiname,name__ar,name__ru,name__sq,wikipedia__ar,website,identifier__VIAF,identifier__google_knowledge,name__eu,name__ja,name__br,name__arz,wikipedia__arz,wikipedia__br,wikipedia__ca,wikipedia__de,wikipedia__es,wikipedia__eu,wikipedia__fr,wikipedia__it,identifier__LCAuth,identifier__hansard,identifier__FAST,identifier__national_archives,identifier__rush,identifier__ISNI,identifier__ukparliamentid,identifier__goodreads,identifier__ne_se,identifier__TWFY,name__sco,name__zh,name__vi,name__gd,name__id,name__ga,name__gl,name__pcd,name__eo,name__oc,name__la,name__kw,name__bn,name__be_tarask,name__ko,wikipedia__enwikiquote,wikipedia__fi,wikipedia__ga,wikipedia__gl,wikipedia__kw,wikipedia__la,wikipedia__ruwikinews,wikipedia__sco,wikipedia__simple,wikipedia__vi,facebook,name__zh_hant,name__zh_cn,name__zh_hans,wikipedia__ru,name__tr,name__scn,name__ie,name__el,name__uk,name__sk,name__fo,name__kl,name__en_gb,name__nn,name__zh_hk,name__lt,wikipedia__cs,wikipedia__el,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__lt,wikipedia__pl,wikipedia__scn,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__Britannica,identifier__NTA,identifier__BBC_things,name__fa,wikipedia__fa,email,name__dag,wikipedia__pt,death_date,name__en_ca,name__af,name__an,name__bar,name__co,name__de_at,name__de_ch,name__et,name__frp,name__fur,name__gsw,name__hr,name__ia,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pms,name__rm,name__ro,name__sc,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,wikipedia__sv,identifier__journalisted,identifier__current_hansard,identifier__publicwhip,identifier__bbc_democracy_live,identifier__ORCID,identifier__GND,name__ext,wikipedia__mg,wikipedia__oc,identifier__NPG,identifier__NNDB,name__he,wikipedia__cywikiquote,identifier__snac,identifier__Oxforddnb,name__lv,name__bs,name__sr,wikipedia__id,wikipedia__sl,identifier__BIBSYS,identifier__NUKAT,weblog,identifier__PACE,identifier__CSPAN,instagram,honorific_prefix,name__ig,wikipedia__igwikiquote,identifier__quora,wikipedia__ro,identifier__EuroparlMEP,name__vmf,name__az,name__te,wikipedia__az,wikipedia__nds,wikipedia__ms,wikipedia__nl,identifier__wikitree,name__zh_sg,name__zh_tw,name__wuu,name__yue,wikipedia__da,wikipedia__ja,wikipedia__wuu,wikipedia__zh_yue,identifier__WelshBiography,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,identifier__snapchat
Q106774276,Joel James,Joel James,Joel James,Joel James,,,,,,,,,,,,,,,,,,Joel James,Joel James (politician),1985-03-09,male,Joel,politician,James,8687,,,9296,JoelJamesSWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106774280,Sam Rowlands,Sam Rowlands,Sam Rowlands,Sam Rowlands,,,,,,,,,,,,,,,,,,Sam Rowlands,Sam Rowlands,,male,Sam,politician,Rowlands,8734,,,9354,SamRowlands_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SamRowlandsNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106774287,Tom Giffard,Tom Giffard,Tom Giffard,Tom Giffard,,,,,,,,,,,,,,,,,,Tom Giffard,Tom Giffard,,male,Tom,politician,Giffard,8733,,,24533,TomGiffard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106814646,Peredur Owen Griffiths,Peredur Owen Griffiths,Peredur Owen Griffiths,Peredur Owen Griffiths,,,,,,,,,,,,Peredur Owen Griffiths,,,,Peredur Owen Griffiths,,Peredur Owen Griffiths,Peredur Owen Griffiths,1978-10,male,Peredur,banker,Owen Griffiths,8579,,,71802,PeredurPlaidAS,,,,Peredur Owen Griffiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POwenGriffiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peredur Owen Griffiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106814756,Luke Fletcher,Luke Fletcher,Luke Fletcher,Luke Fletcher,,,,,,,,,,,,Luke Fletcher,,,,Luke Fletcher,,Luke Fletcher,Luke Fletcher (politician),,male,Luke,politician,Fletcher,8634,,,71815,LFletcher2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10694,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Category:Leanne Wood,Leanne Wood,Leanne Wood,1971-12-13,female,Leanne,politician,Wood,185,/m/02phppl,https://upload.wikimedia.org/wikipedia/commons/4/42/Leanne_Wood_AM_(27555056394).jpg,8129,LeanneWood,,ليان وود,"Вуд, Лианн",,ليان وود,https://www.leannerhondda.wales/,,,Leanne Wood,リアーン・ウッド,Leanne Wood,ليان وود,ليان وود,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,,,,,,,,,,,Leanne Wood,莉安·伍德,,,,Leanne Wood,Leanne Wood,,,Leanne Wood,Leanne Wood,,,,린 우드,Leanne Wood,Leanne Wood,Leanne Wood,,,Leanne Wood,,Leanne Wood,,,leannerhondda,,,,"Вуд, Лианн",,,Leanne Wood,,,,,,Leanne Wood,,,,,,,,Leanne Wood,린 우드,,,,,,莉安·伍德,,,f6d9ac01-db00-4e13-97b4-5bb54e019fd3,لیان وود,لیان وود,,,Leanne Wood,,,,Leanne Wood,,,,Leanne Wood,,,,,,,,,,,,,Leanne Wood,,,,,,,,,,,,,,,,,,,,,,,,,,Leanne Wood,Leanne Wood,,,,,,,,,,,,,,,,,,,,,,,,,,Lian Vud,లియన్ వుడ్,Lian Vud,,,,,,,,,,,,,,,,,,,,,
Q11001680,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,,Helen Mary Jones,Helen Mary Jones,Helen Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,,Helen Mary Jones,Helen Mary Jones,1960-06-29,female,Helen,politician,Jones,164,/m/0276s1,https://upload.wikimedia.org/wikipedia/commons/4/44/Helen_Mary_Jones_AM.jpg,9457,,,هيلين جونز,,,,,,,,ヘレン・メアリー・ジョーンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,হেলেন ম্যারি জোন্স,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,هلن مری جونز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11162843,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,,,Jonathan Morgan,Jonathan Morgan (politician),1974-11-12,male,Jonathan,politician,Morgan,172,/m/0284w0k,https://upload.wikimedia.org/wikipedia/commons/2/28/Jonathan-Morgan.jpg,,,,جوناثان مورغان,Джонатан Морган,Jonathan Morgan,جوناثان مورغان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جاناتان مورگان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q111840,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Category:Carwyn Jones,Carwyn Jones,Carwyn Jones,1967-03-21,male,Carwyn,politician,Jones,102,/m/09bptc,https://upload.wikimedia.org/wikipedia/commons/a/a2/Festival_interceltique_de_Lorient_2018_-_Carwyn_Jones_conference_-_0564_cropped.jpg,8064,AMCarwyn,,,"Джонс, Каруин",Carwyn Jones,,http://www.carwynjonesam.co.uk/,256290018,,Carwyn Jones,カーウィン・ジョーンズ,Carwyn Jones,كاروين جونز,كاروين جونز,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,,Carwyn Jones,Carwyn Jones,no2009057457,,,,,0000 0003 7821 4669,,,,,Carwyn Jones,卡文·瓊斯,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,,Carwyn Jones,,,카륀 존스,Carwyn Jones,,,,Carwyn Jones,,,Carwyn Jones,Carwyn Jones,,,,卡文·琼斯,,"Джонс, Каруин",Carwyn Jones,Carwyn Jones,Carwyn Jones,Κάρουϊν Τζόουνς,Карвін Джонс,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,莊家偉,Carwyn Jones,Carwyn Jones,Κάρουϊν Τζόουνς,Carwyn Jones,Carwyn Jones,Carwyn Jones,카륀 존스,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Карвін Джонс,莊家偉,biography/Carwyn-Jones,332930246,56050978-1fce-49b2-aa99-341057f1758f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q117720,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,,Gwenda Thomas,Gwenda Thomas,1942-01-22,female,Gwenda,politician,Thomas,180,/m/01m0q_,https://upload.wikimedia.org/wikipedia/commons/e/ed/Gwenda_Thomas.jpg,,GwendaThomas,,,,,,http://www.gwendathomas.com,,,,,,جويندا توماس,جويندا توماس,,,,,,,,,,,,,,,,,,,,,,,,Gwenda Thomas,,,,,,,,,,,,Gwenda Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13129493,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,,Laura Anne Jones,Laura Anne Jones,Laura Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Category:Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,1979-02-02,female,Laura,politician,Jones,4562,/m/03trf8,https://upload.wikimedia.org/wikipedia/commons/7/72/Laura_Anne_Jones_MS.jpg,6411,LauraJ4SWEast,,لورا جونز,,Laura Anne Jones,,,,,Laura Anne Jones,,Laura Anne Jones,,,,,,,,,,,,,,,,,,,,Laura Anne Jones,,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13129862,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,Mabon ap Gwynfor,,Mabon ap Gwynfor,Mabon ap Gwynfor,1978-08-06,male,Mabon,politician,ap Gwynfor,269,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mabon-ap-gwynfor.jpg,4971,mabonapgwynfor,,,,,,,307472039,,,,,,,,,,,,,,no2014042473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mabonplaidcymru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14420732,Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,,Rhun ap Iorwerth,,Rhun ap Iorwerth,Rhun ap Iorwerth,,Rhun ap Iorwerth,,,,,,,,Category:Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,1972-08-27,male,Rhun,journalist,ap Iorwerth,2717,/m/0wy66g8,https://upload.wikimedia.org/wikipedia/commons/5/53/RhunApIorwerth_Nov2014.jpg,8361,RhunapIorwerth,,,,Rhun ap Iorwerth,,https://www.rhunapiorwerth.cymru/,819147905330779092848,,,,,رون اپ ايورويرث,رون اپ ايورويرث,,,,,,,Rhun ap Iorwerth,no2016145996,,,,,,,,,,,,,,,Rhun ap Iorwerth,,,,,,,,,,,Rhun ap Iorwerth,Rhun ap Iorwerth,,,,,,,,rhunynysmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
