id,image,name,email,identifier__scotparl
1931,"",Bristow Muldoon,,1931
1932,"",Bruce Crawford,,1932
2947,"",Bruce McFee,,2947
4984,"",Cameron Buchanan,,4984
3103,"",Campbell Martin,,3103
5556,"",Cara Hilton,,5556
16211,http://scottishparliament.thirdlight.com/file/67371828940,Carol Mochan,Carol.Mochan.msp@parliament.scot,16211
2902,"",Carolyn Leckie,,2902
1751,"",Cathie Craigie,,1751
1752,"",Cathy Jamieson,,1752
1754,"",Cathy Peattie,,1754
3538,"",Charlie Gordon,,3538
1943,"",Chic Brodie,,1943
1944,"",Chris Ballance,,1944
4965,"",Christian Allard,,4965
3759,http://scottishparliament.thirdlight.com/file/35960260890,Christina McKelvie,Christina.McKelvie.msp@parliament.scot,3759
1756,http://scottishparliament.thirdlight.com/file/35819883370,Christine Grahame,Christine.Grahame.msp@parliament.scot,1756
2877,"",Christine May,,2877
3746,"",Christopher Harvie,,3746
2633,http://scottishparliament.thirdlight.com/file/49246913874,Claire Baker,Claire.Baker.msp@parliament.scot,2633
4940,http://scottishparliament.thirdlight.com/file/35820938229,Clare Adamson,Clare.Adamson.msp@parliament.scot,4940
5618,http://scottishparliament.thirdlight.com/file/35783687418,Clare Haughey,Clare.Haughey.msp@parliament.scot,5618
1759,"",Claudia Beamish,,1759
3751,http://scottishparliament.thirdlight.com/file/38395638303,Colin Beattie,Colin.Beattie.msp@parliament.scot,3751
1950,"",Colin Campbell,,1950
3004,"",Colin Fox,,3004
4956,"",Colin Keir,,4956
5638,http://scottishparliament.thirdlight.com/file/35783688355,Colin Smyth,Colin.Smyth.msp@parliament.scot,5638
16191,http://scottishparliament.thirdlight.com/file/67355682929,Collette Stevenson,Collette.Stevenson.msp@parliament.scot,16191
16210,http://scottishparliament.thirdlight.com/file/67370593643,Craig Hoy,Craig.Hoy.msp@parliament.scot,16210
5604,http://scottishparliament.thirdlight.com/file/35820937956,Daniel Johnson,Daniel.Johnson.msp@parliament.scot,5604
1963,"",Dave Petrie,,1963
2674,"",Dave Thompson,,2674
1956,"",David Davidson,,1956
1961,"",David McLetchie,,1961
1962,"",David Mundell,,1962
3806,"",David Stewart,,3806
5075,http://scottishparliament.thirdlight.com/file/35800414488,David Torrance,David.Torrance.msp@parliament.scot,5075
4074,"",David Whitton,,4074
5809,http://scottishparliament.thirdlight.com/file/67632864742,Dean Lockhart,Dean.Lockhart.msp@parliament.scot,5809
1968,"",Dennis Canavan,,1968
3745,"",Dennis Robertson,,3745
2596,"",Derek Brownlee,,2596
4966,"",Derek Mackay,,4966
1970,"",Des McNulty,,1970
5677,http://scottishparliament.thirdlight.com/file/35786761150,Donald Cameron,Donald.Cameron.msp@parliament.scot,5677
1972,"",Donald Dewar,,1972
1973,"",Donald Gorrie,,1973
1762,"",Dorothy-Grace Elder,,1762
16206,http://scottishparliament.thirdlight.com/file/67355781752,Douglas Lumsden,Douglas.Lumsden.msp@parliament.scot,16206
4981,http://scottishparliament.thirdlight.com/file/35783687368,Douglas Ross,Douglas.Ross.msp@parliament.scot,4981
5079,"",Drew Smith,,5079
1985,"",Duncan Hamilton,,1985
1986,"",Duncan McNeil,,1986
4982,http://scottishparliament.thirdlight.com/file/46587430194,Edward Mountain,Edward.Mountain.msp@parliament.scot,4982
1768,"",Elaine Murray,,1768
1769,"",Elaine Smith,,1769
1770,"",Elaine Thomson,,1770
1771,"",Eleanor Scott,,1771
16189,http://scottishparliament.thirdlight.com/file/67370749846,Elena Whitham,Elena.Whitham.msp@parliament.scot,16189
5771,http://scottishparliament.thirdlight.com/file/35818497399,Emma Harper,Emma.Harper.msp@parliament.scot,5771
16197,http://scottishparliament.thirdlight.com/file/67370593628,Emma Roddick,Emma.Roddick.msp@parliament.scot,16197
1990,"",Euan Robson,,1990
16182,http://scottishparliament.thirdlight.com/file/67355780235,Evelyn Tweed,Evelyn.Tweed.msp@parliament.scot,16182
1994,http://scottishparliament.thirdlight.com/file/35943512647,Fergus Ewing,Fergus.Ewing.msp@parliament.scot,1994
5782,http://scottishparliament.thirdlight.com/file/40400707229,Finlay Carson,Finlay.Carson.msp@parliament.scot,5782
1773,http://scottishparliament.thirdlight.com/file/35855660228,Fiona Hyslop,Fiona.Hyslop.msp@parliament.scot,1773
1775,"",Fiona McLeod,,1775
16216,http://scottishparliament.thirdlight.com/file/67355781310,Foysol Choudhury,Foysol.Choudhury.msp@parliament.scot,16216
2767,"",Frances Curran,,2767
1996,"",Frank McAveety,,1996
5596,http://scottishparliament.thirdlight.com/file/35783689308,Fulton MacGregor,Fulton.MacGregor.msp@parliament.scot,5596
5591,"",Gail Ross,,5591
2595,"",Gavin Brown,,2595
2615,http://scottishparliament.thirdlight.com/file/35820937738,George Adam,George.Adam.msp@parliament.scot,2615
3811,"",George Foulkes,,3811
2003,"",George Lyon,,2003
2005,"",George Reid,,2005
2010,"",Gil Paterson,,2010
16195,http://scottishparliament.thirdlight.com/file/67355682236,Gillian Mackay,Gillian.Mackay.msp@parliament.scot,16195
5578,http://scottishparliament.thirdlight.com/file/44304964199,Gillian Martin,Gillian.Martin.msp@parliament.scot,5578
2013,"",Gordon Jackson,,2013
2015,"",Gordon Lindhurst,,2015
5074,http://scottishparliament.thirdlight.com/file/35817741458,Gordon MacDonald,Gordon.MacDonald.msp@parliament.scot,5074
5107,http://scottishparliament.thirdlight.com/file/35802798381,Graeme Dey,Graeme.Dey.msp@parliament.scot,5107
5057,"",Graeme Pearson,,5057
3994,http://scottishparliament.thirdlight.com/file/35783686696,Graham Simpson,Graham.Simpson.msp@parliament.scot,3994
3101,"",Hanzala Malik,,3101
1778,"",Helen Eadie,,1778
2028,"",Henry McLeish,,2028
2029,"",Hugh Henry,,2029
2030,"",Hugh O'Donnell,,2030
4941,http://scottishparliament.thirdlight.com/file/35922512428 ,Humza Yousaf,Humza.Yousaf.msp@parliament.scot,4941
2033,"",Iain Gray,,2033
2038,"",Iain Smith,,2038
2044,"",Ian Jenkins,,2044
2049,"",Ian McKee,,2049
2051,"",Ian Welsh,,2051
1781,"",Irene McGugan,,1781
1782,"",Irene Oldfather,,1782
5612,http://scottishparliament.thirdlight.com/file/35783688223,Ivan McKee,Ivan.McKee.msp@parliament.scot,5612
2052,"",Jack McConnell,,2052
1783,http://scottishparliament.thirdlight.com/file/35855660953,Jackie Baillie,Jackie.Baillie.msp@parliament.scot,1783
16175,http://scottishparliament.thirdlight.com/file/67370749352,Jackie Dunbar,Jackie.Dunbar.msp@parliament.scot,16175
2678,http://scottishparliament.thirdlight.com/file/35799295215,Jackson Carlaw,Jackson.Carlaw.msp@parliament.scot,2678
2826,http://scottishparliament.thirdlight.com/file/35942003780,James Dornan,James.Dornan.msp@parliament.scot,2826
2056,"",James Douglas-Hamilton,,2056
2059,"",James Kelly,,2059
5698,http://scottishparliament.thirdlight.com/file/35681770981,Jamie Greene,Jamie.Greene.msp@parliament.scot,5698
5800,http://scottishparliament.thirdlight.com/file/44183378552,Jamie Halcro Johnston,Jamie.HalcroJohnston.msp@parliament.scot,5800
3758,http://scottishparliament.thirdlight.com/file/35820938486 ,Jamie Hepburn,Jamie.Hepburn.msp@parliament.scot,3758
2066,"",Jamie McGrigor,,2066
2068,"",Jamie Stone,,2068
1791,"",Janis Hughes,,1791
5038,"",Jayne Baxter,,5038
2390,"",Jean Turner,,2390
1793,"",Jean Urquhart,,1793
5592,"",Jeane Freeman,,5592
16184,http://scottishparliament.thirdlight.com/file/67374111660,Jenni Minto,Jenni.Minto.msp@parliament.scot,16184
5613,https://scottishparliament.thirdlight.com/file/37911815221,Jenny Gilruth,Jenny.Gilruth.msp@parliament.scot,5613
5034,"",Jenny Marra,,5034
5877,http://scottishparliament.thirdlight.com/file/35783688260,Jeremy Balfour,Jeremy.Balfour.msp@parliament.scot,5877
2866,"",Jeremy Purvis,,2866
4955,"",Jim Eadie,,4955
16187,http://scottishparliament.thirdlight.com/file/67354171933,Jim Fairlie,Jim.Fairlie.msp@parliament.scot,16187
4086,"",Jim Hume,,4086
2074,"",Jim Mather,,2074
2651,"",Jim Tolson,,2651
2077,"",Jim Wallace,,2077
4951,"",Joan McAlpine,,4951
3901,http://scottishparliament.thirdlight.com/file/35800493586,Joe FitzPatrick,Joe.Fitzpatrick.msp@parliament.scot,3901
2080,"",Johann Lamont,,2080
2085,"",John Farquhar Munro,,2085
4947,"",John Finnie,,4947
2100,"",John Home Robertson,,2100
4016,"",John Lamont,,4016
5110,http://scottishparliament.thirdlight.com/file/35820937486,John Mason,John.Mason.msp@parliament.scot,5110
2090,"",John McAllion,,2090
3815,"",John Park,,3815
2853,"",John Pentland,,2853
2345,"",John Scott,,2345
2686,"",John Swinburne,,2686
2098,http://scottishparliament.thirdlight.com/file/35943496226,John Swinney,John.Swinney.msp@parliament.scot,2098
2610,"",John Wilson,,2610
2099,"",John Young,,2099
16177,http://scottishparliament.thirdlight.com/file/67370593660,Karen Adam,Karen.Adam.msp@parliament.scot,16177
1803,"",Karen Gillon,,1803
1805,"",Karen Whitefield,,1805
5621,http://scottishparliament.thirdlight.com/file/35942002221,Kate Forbes,Kate.Forbes.msp@parliament.scot,5621
1807,"",Kate Maclean,,1807
16202,http://scottishparliament.thirdlight.com/file/67354912282,Katy Clark,Katy.Clark.msp@parliament.scot,16202
16192,http://scottishparliament.thirdlight.com/file/67354912137,Kaukab Stewart,Kaukab.Stewart.msp@parliament.scot,16192
1811,"",Kay Ullrich,,1811
2103,http://scottishparliament.thirdlight.com/file/35960260789,Keith Brown,Keith.Brown.msp@parliament.scot,2103
2105,"",Keith Harding,,2105
2106,"",Keith Raffan,,2106
2108,"",Ken Macintosh,,2108
2110,http://scottishparliament.thirdlight.com/file/35855484389,Kenneth Gibson,Kenneth.Gibson.msp@parliament.scot,2110
2112,"",Kenny MacAskill,,2112
5106,http://scottishparliament.thirdlight.com/file/35818497490,Kevin Stewart,Kevin.Stewart.msp@parliament.scot,5106
3812,http://scottishparliament.thirdlight.com/file/35781781656,Kezia Dugdale,,3812
5035,"",Lesley Brennan,,5035
2117,"",Lewis Macdonald,,2117
5651,http://scottishparliament.thirdlight.com/file/35783687854,Liam Kerr,Liam.Kerr.msp@parliament.scot,5651
3896,http://scottishparliament.thirdlight.com/file/35855661618,Liam McArthur,Liam.McArthur.msp@parliament.scot,3896
1814,"",Linda Fabiani,,1814
4014,http://scottishparliament.thirdlight.com/file/35818225410,Liz Smith,Elizabeth.Smith.msp@parliament.scot,4014
2118,"",Lloyd Quinan,,2118
16215,http://scottishparliament.thirdlight.com/file/67354170146,Lorna Slater,Lorna.Slater.msp@parliament.scot,16215
2122,"",Lyndsay McIntosh,,2122
16207,http://scottishparliament.thirdlight.com/file/67374113466,Maggie Chapman,Maggie.Chapman.msp@parliament.scot,16207
5587,http://scottishparliament.thirdlight.com/file/35921454674,Mairi Gougeon,Mairi.Gougeon.msp@parliament.scot,5587
2123,"",Malcolm Chisholm,,2123
5109,"",Marco Biagi,,5109
5669,http://scottishparliament.thirdlight.com/file/35783691275,Maree Todd,Maree.Todd.msp@parliament.scot,5669
5108,"",Margaret Burgess,,5108
1820,"",Margaret Curran,,1820
1821,"",Margaret Ewing,,1821
1823,"",Margaret Jamieson,,1823
5080,"",Margaret McCulloch,,5080
3824,"",Margaret McDougall,Margaret.McDougall.msp@scottish.parliament.uk,3824
3061,"",Margaret Mitchell,,3061
1826,"",Margaret Smith,,1826
1828,"",Margo MacDonald,,1828
16176,http://scottishparliament.thirdlight.com/file/67354171544,Marie McNair,Marie.McNair.msp@parliament.scot,16176
1832,"",Marilyn Livingstone,,1832
2126,"",Mark Ballard,,2126
5042,http://scottishparliament.thirdlight.com/file/35855660595,Mark Griffin,Mark.Griffin.msp@parliament.scot,5042
4964,"",Mark McDonald,,4964
2127,http://scottishparliament.thirdlight.com/file/35781781662,Mark Ruskell,Mark.Ruskell.msp@parliament.scot,2127
1831,"",Marlyn Glen,,1831
16213,http://scottishparliament.thirdlight.com/file/67374111216,Martin Whitfield,Martin.Whitfield.msp@parliament.scot,16213
5059,"",Mary Fee,,5059
1837,"",Mary Mulligan,,1837
1839,"",Mary Scanlon,,1839
1840,"",Maureen Macmillan,,1840
1841,"",Maureen Watt,,1841
5700,"",Maurice Corry,,5700
3983,http://scottishparliament.thirdlight.com/file/35783687661,Maurice Golden,Maurice.Golden.msp@parliament.scot,3983
16194,"",Meghan Gallacher,Meghan.Gallacher.msp@parliament.scot,16194
16209,http://scottishparliament.thirdlight.com/file/67371827963,Mercedes Villalba,Mercedes.Villalba.msp@parliament.scot,16209
16205,http://scottishparliament.thirdlight.com/file/67370593194,Michael Marra,Michael.Marra.msp@parliament.scot,16205
2133,http://scottishparliament.thirdlight.com/file/35855660631,Michael Matheson,Michael.Matheson.msp@parliament.scot,2133
2134,"",Michael McMahon,,2134
2135,"",Michael Russell,,2135
5797,"",Michelle Ballantyne,,5797
16178,http://scottishparliament.thirdlight.com/file/67354171529,Michelle Thomson,Michelle.Thomson.msp@parliament.scot,16178
4948,"",Mike MacKenzie,,4948
2252,"",Mike Pringle,,2252
2140,"",Mike Rumbles,,2140
2142,"",Mike Watson,,2142
4987,http://scottishparliament.thirdlight.com/file/35783685351,Miles Briggs,Miles.Briggs.msp@parliament.scot,4987
5580,http://scottishparliament.thirdlight.com/file/35783687362,Monica Lennon,Monica.Lennon.msp@parliament.scot,5580
2394,http://scottishparliament.thirdlight.com/file/35800892126,Murdo Fraser,Murdo.Fraser.msp@parliament.scot,2394
2148,"",Murray Tosh,,2148
16190,http://scottishparliament.thirdlight.com/file/67355780519,Màiri McAllan,Mairi.McAllan.msp@parliament.scot,16190
1845,"",Nanette Milne,,1845
16181,http://scottishparliament.thirdlight.com/file/67355682514,Natalie Don,Natalie.Don.msp@parliament.scot,16181
5060,http://scottishparliament.thirdlight.com/file/35960261503,Neil Bibby,Neil.Bibby.msp@parliament.scot,5060
5054,"",Neil Findlay,,5054
16180,http://scottishparliament.thirdlight.com/file/67354928689,Neil Gray,Neil.Gray.msp@parliament.scot,16180
2152,"",Nick Johnston,,2152
2154,"",Nicol Stephen,,2154
1848,http://scottishparliament.thirdlight.com/file/9853640645,Nicola Sturgeon,Nicola.Sturgeon.msp@parliament.scot,1848
3743,"",Nigel Don,,3743
1850,"",Nora Radcliffe,,1850
5709,http://scottishparliament.thirdlight.com/file/35781571941,Oliver Mundell,Oliver.Mundell.msp@parliament.scot,5709
16199,http://scottishparliament.thirdlight.com/file/67374112119,Pam Duncan-Glancy,Pam.Duncan-Glancy.msp@parliament.scot,16199
16204,http://scottishparliament.thirdlight.com/file/67354171305,Pam Gosal,Pam.Gosal.msp@parliament.scot,16204
1853,"",Patricia Ferguson,,1853
2892,http://scottishparliament.thirdlight.com/file/35783690519,Patrick Harvie,Patrick.Harvie.msp@parliament.scot,2892
2159,"",Paul Martin,,2159
16179,http://scottishparliament.thirdlight.com/file/67355781738,Paul McLennan,Paul.McLennan.msp@parliament.scot,16179
16203,http://scottishparliament.thirdlight.com/file/67354171896,Paul O'Kane,Paul.OKane.msp@parliament.scot,16203
16198,http://scottishparliament.thirdlight.com/file/67370750539,Paul Sweeney,Paul.Sweeney.msp@parliament.scot,16198
4952,"",Paul Wheelhouse,,4952
1857,http://scottishparliament.thirdlight.com/file/35960261831,Pauline McNeill,Pauline.McNeill.msp@parliament.scot,1857
5679,"",Peter Chapman,,5679
2167,"",Peter Peacock,,2167
2172,"",Phil Gallie,,2172
5769,http://scottishparliament.thirdlight.com/file/35781571479,Rachael Hamilton,Rachael.Hamilton.msp@parliament.scot,5769
1860,http://scottishparliament.thirdlight.com/file/41869411513,Rhoda Grant,Rhoda.Grant.msp@parliament.scot,1860
1862,"",Rhona Brankin,,1862
2603,"",Richard Baker,,2603
5579,http://scottishparliament.thirdlight.com/file/35942063441,Richard Leonard,Richard.Leonard.msp@parliament.scot,5579
2180,http://scottishparliament.thirdlight.com/file/9853506741,Richard Lochhead,Richard.Lochhead.msp@parliament.scot,2180
4938,"",Richard Lyle,,4938
2182,"",Richard Simpson,,2182
2675,"",Rob Gibson,,2675
2185,"",Robert Brown,,2185
2188,"",Robin Harper,,2188
2673,"",Roderick Campbell,,2673
5622,http://scottishparliament.thirdlight.com/file/35783687929,Rona Mackay,Rona.Mackay.msp@parliament.scot,5622
1863,"",Roseanna Cunningham,,1863
2665,"",Rosemary Byrne,,2665
2201,"",Rosie Kane,,2201
2202,"",Ross Finnie,,2202
5757,http://scottishparliament.thirdlight.com/file/35783687836,Ross Greer,Ross.Greer.msp@parliament.scot,5757
3985,"",Ross Thomson,,3985
16201,http://scottishparliament.thirdlight.com/file/67354170533,Russell Findlay,Russell.Findlay.msp@parliament.scot,16201
4976,"",Ruth Davidson,,4976
5598,http://scottishparliament.thirdlight.com/file/51788159101,Ruth Maguire,Ruth.Maguire.msp@parliament.scot,5598
2205,"",Sam Galbraith,,2205
16200,http://scottishparliament.thirdlight.com/file/67374112946,Sandesh Gulhane,Sandesh.Gulhane.msp@parliament.scot,16200
1865,"",Sandra White,,1865
1866,http://scottishparliament.thirdlight.com/file/56418919750,Sarah Boyack,sarah.boyack.msp@parliament.scot,1866
2207,"",Scott Barrie,,2207
16212,http://scottishparliament.thirdlight.com/file/67370749816,Sharon Dowey,Sharon.Dowey.msp@parliament.scot,16212
1869,"",Shiona Baird,,1869
3750,http://scottishparliament.thirdlight.com/file/35783690940,Shirley-Anne Somerville,Shirley-Anne.Somerville.msp@parliament.scot,3750
1870,http://scottishparliament.thirdlight.com/file/35820938944,Shona Robison,Shona.Robison.msp@parliament.scot,1870
5041,"",Siobhan McMahon,,5041
16183,http://scottishparliament.thirdlight.com/file/67374112656,Siobhian Brown,Siobhian.Brown.msp@parliament.scot,16183
2263,"",Sir David Steel,,2263
3749,"",Stefan Tymkewycz,,3749
16188,http://scottishparliament.thirdlight.com/file/67354912193,Stephanie Callaghan,Stephanie.Callaghan.msp@parliament.scot,16188
16193,http://scottishparliament.thirdlight.com/file/67355682885,Stephen Kerr,Stephen.Kerr.msp@parliament.scot,16193
2876,"",Stewart Maxwell,,2876
2215,"",Stewart Stevenson,,2215
3763,http://scottishparliament.thirdlight.com/file/35820938765,Stuart McMillan,Stuart.McMillan.msp@parliament.scot,3763
16214,http://scottishparliament.thirdlight.com/file/67371828310,Sue Webber,Sue.Webber.msp@parliament.scot,16214
1871,"",Susan Deacon,,1871
1873,"",Sylvia Jackson,,1873
2223,"",Tavish Scott,,2223
1988,"",Ted Brocklebank,,1988
16208,http://scottishparliament.thirdlight.com/file/67374111581,Tess White,Tess.White.msp@parliament.scot,16208
5868,http://scottishparliament.thirdlight.com/file/35783688599,Tom Arthur,Tom.Arthur.msp@parliament.scot,5868
5929,"",Tom Mason,,5929
2228,"",Tom McCabe,,2228
2225,"",Tommy Sheridan,,2225
1876,"",Tricia Marwick,,1876
1854,"",Trish Godman,,1854
1877,"",Wendy Alexander,,1877
3907,http://scottishparliament.thirdlight.com/file/36076831535,Willie Coffey,Willie.Coffey.msp@parliament.scot,3907
5009,http://scottishparliament.thirdlight.com/file/35783687229,Willie Rennie,Willie.Rennie.msp@parliament.scot,5009
1878,"",Winnie Ewing,,1878
